,city,cloudiness,country,date,humidity,lat,long,max temp,wind speed
0,hilo,90,US,1578272660,58,19.71,-155.08,82.4,8.05
1,longyearbyen,64,NO,1578272713,59,78.22,15.63,-8.16,3.94
2,srednekolymsk,12,RU,1578272714,81,67.46,153.71,-10.25,3.09
3,ribas do rio pardo,31,BR,1578272714,61,-20.45,-53.76,75.36,6.17
4,vaini,75,IN,1578272714,82,15.34,74.49,68.0,4.7
5,kologriv,87,RU,1578272714,96,58.83,44.31,21.09,6.08
6,provideniya,99,RU,1578272714,76,64.42,-173.23,-10.28,9.1
7,norman wells,20,CA,1578272714,72,65.28,-126.83,-38.2,3.36
8,atuona,34,PF,1578272714,75,-9.8,-139.03,80.55,9.46
9,saint-augustin,40,CA,1578272714,72,45.63,-73.98,19.99,5.82
10,hamilton,90,CA,1578272561,95,43.26,-79.87,33.01,13.87
11,jawa,39,ID,1578272715,75,5.32,95.93,81.19,14.47
12,busselton,0,AU,1578272715,49,-33.64,115.35,77.0,3.0
13,bagotville,40,AU,1578272715,74,-28.98,153.42,84.2,17.22
14,lompoc,1,US,1578272152,52,34.64,-120.46,62.01,20.8
15,bardstown,1,US,1578272715,65,37.81,-85.47,48.2,9.93
16,najran,28,SA,1578272715,56,17.54,44.22,68.0,5.82
17,sorland,75,NO,1578272715,75,67.67,12.69,41.0,8.05
18,ushuaia,75,AR,1578272716,66,-54.81,-68.31,50.0,26.4
19,bluff,1,AU,1578272716,45,-23.58,149.07,85.77,13.42
20,luwuk,100,ID,1578272716,81,-0.95,122.79,80.73,14.74
21,aklavik,90,CA,1578272716,68,68.22,-135.01,-16.6,6.93
22,east london,90,ZA,1578271864,76,-33.02,27.91,72.48,4.72
23,tirur,20,IN,1578272716,88,10.92,75.92,71.6,3.36
24,klaksvik,100,FO,1578272157,100,62.23,-6.59,48.2,17.22
25,whitehorse,90,CA,1578272716,83,60.72,-135.06,-4.0,4.7
26,salta,75,AR,1578272683,57,-24.79,-65.41,84.2,6.93
27,ponta do sol,4,BR,1578272173,95,-20.63,-46.0,67.86,4.09
28,punta arenas,40,CL,1578272717,57,-53.16,-70.91,50.0,23.04
29,port dover,90,CA,1578272717,100,42.79,-80.2,30.99,9.17
30,tonekabon,40,IR,1578272717,87,36.82,50.88,46.4,4.7
31,dingle,54,PH,1578272717,92,11.0,122.67,75.33,12.15
32,katherine,99,AU,1578272717,62,-14.47,132.26,87.8,5.82
33,cape town,40,ZA,1578271916,88,-33.93,18.42,64.0,5.82
34,coihueco,14,CL,1578272717,59,-36.63,-71.83,64.4,10.29
35,albany,75,US,1578272530,63,42.65,-73.75,30.2,6.93
36,touros,40,BR,1578272718,78,-5.2,-35.46,80.6,11.41
37,burns lake,16,CA,1578272187,79,54.23,-125.76,20.77,5.1
38,kaitangata,98,NZ,1578272123,59,-46.28,169.85,54.0,21.0
39,barrow,100,AR,1578272718,89,-38.31,-60.23,61.95,4.38
40,thompson,90,CA,1578272558,84,55.74,-97.86,6.8,9.17
41,butaritari,93,KI,1578272127,76,3.07,172.79,85.35,16.69
42,kodiak,1,US,1578272141,55,39.95,-94.76,39.0,5.82
43,mataura,84,NZ,1578272718,79,-46.19,168.86,51.01,25.01
44,plettenberg bay,100,ZA,1578272719,88,-34.05,23.37,67.08,2.84
45,kilindoni,31,TZ,1578272720,75,-7.91,39.67,82.69,8.66
46,port hardy,75,CA,1578272720,86,50.7,-127.42,37.4,5.82
47,jamestown,70,AU,1578272184,70,-33.21,138.6,65.23,6.46
48,rocha,51,UY,1578272720,71,-34.48,-54.34,67.86,11.23
49,umm lajj,0,SA,1578272720,59,25.02,37.27,52.93,6.22
50,takoradi,6,GH,1578272180,55,4.89,-1.75,78.84,1.83
51,neubrandenburg,100,DE,1578272720,86,53.56,13.26,39.99,4.0
52,mangrol,0,IN,1578272160,54,25.33,76.51,53.02,4.81
53,rincon,100,PA,1578272720,72,8.46,-82.28,69.01,8.01
54,faanui,23,PF,1578272155,74,-16.48,-151.75,82.13,9.71
55,tiksi,3,RU,1578272721,87,71.64,128.87,-14.42,12.73
56,pechenga,96,RU,1578272721,91,58.89,41.46,22.39,4.94
57,makakilo city,75,US,1578272721,69,21.35,-158.09,82.0,9.17
58,oriximina,2,BR,1578272721,68,-1.77,-55.87,81.99,5.1
59,sao felix do xingu,100,BR,1578272721,96,-6.64,-51.99,72.99,1.9
60,ketrzyn,95,PL,1578272721,71,54.08,21.38,30.52,9.46
61,lagoa,0,PT,1578272722,76,37.14,-8.45,52.0,9.17
62,lebu,20,ET,1578272156,76,8.96,38.73,53.6,5.82
63,itarema,14,BR,1578272722,85,-2.92,-39.92,77.0,4.45
64,nishihara,20,JP,1578272722,45,35.74,139.53,48.99,16.11
65,auki,100,NG,1578272722,28,12.18,6.51,63.95,11.52
66,jaslo,20,PL,1578272722,92,49.75,21.47,28.0,6.93
67,muisne,45,EC,1578272722,84,0.61,-80.02,75.85,3.58
68,puerto madero,71,AR,1578272723,69,-34.61,-58.36,79.0,16.11
69,cabo san lucas,40,MX,1578272701,73,22.89,-109.91,72.0,4.7
70,georgetown,10,GY,1578271926,78,6.8,-58.16,78.8,4.7
71,fakse,100,DK,1578272723,100,55.25,12.12,41.0,9.17
72,namibe,71,AO,1578272723,89,-15.19,12.15,73.09,12.41
73,bredasdorp,100,ZA,1578272187,77,-34.53,20.04,62.6,3.36
74,port elizabeth,1,US,1578272158,59,39.31,-74.98,37.99,4.7
75,hovd,40,NO,1578272724,93,63.83,10.7,45.0,11.41
76,galle,3,GN,1578272724,49,10.08,-12.83,65.71,1.88
77,pocoes,100,BR,1578272724,97,-14.53,-40.37,68.43,0.72
78,san patricio,2,PY,1578272724,49,-26.98,-56.83,80.28,6.26
79,povolzhskiy,75,RU,1578272724,100,53.59,49.76,30.2,2.24
80,nikolskoye,93,RU,1578272174,85,59.7,30.79,25.0,2.24
81,puerto ayora,75,EC,1578272164,69,-0.74,-90.35,80.6,16.11
82,lookan,100,PH,1578272724,78,5.04,120.1,80.1,1.43
83,hambantota,5,LK,1578272724,100,6.12,81.12,73.4,4.7
84,khatanga,99,RU,1578272173,97,71.98,102.47,-7.42,6.53
85,ambulu,100,ID,1578272725,79,-8.35,113.61,81.43,8.61
86,saldanha,0,PT,1578272725,80,41.42,-6.55,36.0,0.6
87,sisophon,0,KH,1578272725,76,13.59,102.97,69.28,4.29
88,vila franca do campo,75,PT,1578272725,93,37.72,-25.43,64.4,17.22
89,nouadhibou,39,MR,1578272725,72,20.93,-17.03,59.0,13.87
90,rikitea,83,PF,1578272725,77,-23.12,-134.97,76.37,14.54
91,vila velha,40,BR,1578272187,74,-3.71,-38.6,86.0,5.82
92,yulara,90,AU,1578272725,77,-25.24,130.99,68.0,14.99
93,port alfred,72,ZA,1578272726,92,-33.59,26.89,68.0,3.56
94,talnakh,75,RU,1578272153,92,69.49,88.39,21.2,29.08
95,esperance,11,AU,1578272726,26,-33.86,121.89,78.8,25.28
96,gat,0,SN,1578272726,28,14.69,-16.54,69.8,12.75
97,torbay,90,CA,1578272139,100,47.66,-52.73,30.99,26.4
98,mbandaka,64,CD,1578272726,48,0.05,18.26,71.94,2.66
99,tuatapere,100,NZ,1578272726,79,-46.13,167.69,51.01,25.01
100,tshikapa,100,CD,1578272726,97,-6.42,20.79,69.93,1.72
101,severo-kurilsk,100,RU,1578272165,96,50.68,156.12,21.45,12.12
102,manzhouli,100,CN,1578272726,86,49.6,117.43,3.22,5.32
103,aquin,60,HT,1578272727,77,18.28,-73.39,77.36,11.77
104,waingapu,98,ID,1578272727,78,-9.65,120.26,83.35,19.71
105,kapaa,40,US,1578272727,74,22.08,-159.32,80.6,18.34
106,muravlenko,100,RU,1578272727,94,63.79,74.5,21.78,13.51
107,saskylakh,23,RU,1578272727,94,71.97,114.09,-19.23,14.5
108,imeni poliny osipenko,0,RU,1578272727,86,52.42,136.49,-10.71,2.82
109,comodoro rivadavia,40,AR,1578272727,30,-45.87,-67.48,69.8,13.87
110,dikson,95,RU,1578272727,92,73.51,80.55,18.0,19.55
111,magomeni,20,TZ,1578272728,88,-6.8,39.25,80.6,9.17
112,yar-sale,0,RU,1578272728,86,66.83,70.83,13.35,16.67
113,saint george,90,GR,1578272650,80,39.45,22.34,41.0,12.75
114,soverato,13,IT,1578272728,57,38.69,16.55,36.66,15.28
115,upernavik,100,GL,1578272728,93,72.79,-56.15,-27.65,12.19
116,arraial do cabo,100,BR,1578272142,89,-22.97,-42.02,76.06,6.67
117,novaya maka,53,RU,1578272728,83,41.77,48.36,45.86,3.94
118,richards bay,18,ZA,1578272728,88,-28.77,32.06,79.34,14.18
119,salalah,75,OM,1578272729,78,17.01,54.1,75.2,3.36
120,hermanus,100,ZA,1578272729,93,-34.42,19.24,64.0,8.08
121,ilulissat,100,GL,1578272729,55,69.22,-51.1,10.4,10.29
122,carnarvon,1,ZA,1578272729,77,-30.97,22.13,60.42,7.92
123,sao joao da barra,92,BR,1578272729,87,-21.64,-41.05,78.1,1.92
124,bayan,100,CN,1578272729,91,36.1,102.26,14.81,1.19
125,hithadhoo,100,MV,1578272139,74,-0.6,73.08,83.08,10.4
126,iqaluit,90,CA,1578272729,62,63.75,-68.52,-16.6,4.7
127,kenora,90,CA,1578272729,73,49.76,-94.48,24.8,5.82
128,itaueira,86,BR,1578272730,78,-7.6,-43.03,73.38,3.11
129,geraldton,90,CA,1578272184,92,49.72,-86.95,15.8,8.05
130,okha,100,RU,1578272730,92,53.59,142.95,25.95,15.37
131,walvis bay,41,NA,1578272730,82,-22.95,14.51,63.0,1.12
132,wencheng,97,CN,1578272730,94,27.79,120.09,56.23,2.95
133,jalu,0,LY,1578272730,47,29.03,21.55,50.2,13.62
134,sinegorskiy,100,RU,1578272730,83,48.01,40.84,34.14,2.68
135,pevek,0,RU,1578272730,80,69.7,170.27,-6.74,5.28
136,gouyave,20,GD,1578272730,88,12.16,-61.73,75.2,8.61
137,cidreira,0,BR,1578272130,84,-30.17,-50.22,74.71,23.17
138,luderitz,0,NA,1578272153,85,-26.65,15.16,63.32,27.09
139,samarai,80,PG,1578272731,68,-10.62,150.67,85.57,5.91
140,dillon,75,US,1578272731,62,45.22,-112.64,23.0,11.41
141,alyangula,75,AU,1578272731,66,-13.85,136.42,87.8,3.36
142,alice springs,75,AU,1578272731,72,-23.7,133.88,68.0,10.29
143,maniitsoq,100,GL,1578272731,99,65.42,-52.9,6.46,35.81
144,vuktyl,100,RU,1578272731,96,63.86,57.31,19.11,5.01
145,tuktoyaktuk,40,CA,1578272731,74,69.44,-133.03,-23.8,8.05
146,santa rita do passa quatro,27,BR,1578272732,100,-21.71,-47.48,66.2,4.7
147,marsh harbour,42,BS,1578272732,69,26.54,-77.06,66.63,21.9
148,mitsamiouli,100,KM,1578272167,75,-11.38,43.28,82.53,5.86
149,boende,100,CD,1578272732,83,-0.28,20.88,70.25,1.63
150,broome,23,GB,1578272732,81,52.47,1.45,46.4,9.17
151,iskateley,97,RU,1578272732,86,67.68,53.15,18.34,16.11
152,mar del plata,79,AR,1578272732,36,-46.43,-67.52,66.79,8.21
153,saint-germain-de-grantham,90,CA,1578272732,72,45.84,-72.57,17.01,2.24
154,mabini,75,PH,1578272733,83,7.31,125.85,78.8,6.93
155,kahului,20,US,1578272733,54,20.89,-156.47,82.4,24.16
156,airai,100,TL,1578272733,75,-8.93,125.41,75.02,4.07
